Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
AAL1673,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDEN,Denver Intl,"Denver, CO",7/11/13 1:00,7/11/13 2:41,1:41
ASQ2547,CRJ2/Q ,KLIT,Bill And Hillary Clinton National/Adams Field,"Little Rock, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 1:00,7/11/13 1:51,0:51
AAL1440,MD80/Q ,KELP,El Paso Intl,"El Paso, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 1:00,7/11/13 2:18,1:18
AMF1631,BE99/A ,KSPS,Sheppard Afb ,"Wichita Falls, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 1:01,7/11/13 1:36,0:35
MRA658,C208/A ,KTYR,Tyler Pounds Rgnl,"Tyler, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 1:02,7/11/13 1:49,0:47
AAL1582,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCLE,Cleveland-Hopkins Intl,"Cleveland, OH",7/11/13 1:02,7/11/13 3:11,2:09
SKW6389,CRJ7/Q ,KSFO,San Francisco Intl,"San Francisco, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 1:03,7/11/13 3:58,2:55
AAL1188,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDCA,Reagan National,"Washington, DC",7/11/13 1:03,7/11/13 3:50,2:47
EGF2794,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KPIA,General Downing - Peoria Intl,"Peoria, IL",7/11/13 1:05,7/11/13 2:39,1:34
JBU714,E190/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KBOS,Boston Logan Intl,"Boston, MA",7/11/13 1:06,7/11/13 4:17,3:11
